startterminal hour startcount endcount
31028 7 159 37
31029 7 210 9
31030 7 369 23
31031 7 116 84
31032 7 61 107
31033 7 112 9
31034 7 43 28
31035 7 209 17
31036 7 186 20
31037 7 78 159
31038 7 10 25
31039 7 63 31
31040 7 11 30
31041 7 10 29
31042 7 28 8
31043 7 64 67
31044 7 10 11
31045 7 3 18
31046 7 12 6
31047 7 83 73
31048 7 68 19
31049 7 8 6
31050 7 62 4
31051 7 71 2
31052 7 6 1
31100 7 292 866
31101 7 2622 539
31102 7 1392 231
31103 7 2670 241
31104 7 2136 317
31105 7 1604 217
31106 7 1040 1232
31107 7 1898 261
31108 7 1198 476
31109 7 699 294
31110 7 1517 822
31111 7 983 451
31112 7 111 66
31113 7 1918 223
31115 7 523 61
31116 7 1782 256
31200 7 1268 2975
31201 7 2049 653
31202 7 1413 387
31203 7 1694 441
31204 7 324 920
31205 7 342 1309
31206 7 56 1190
31207 7 531 35
31208 7 218 1680
31209 7 15 132
31210 7 4 67
31211 7 36 307
31212 7 642 1534
31213 7 712 2332
31214 7 2097 696
31215 7 153 477
31216 7 185 1250
31217 7 124 1287
31218 7 913 1540
31219 7 185 675
31220 7 287 2392
31221 7 94 986
31222 7 257 1331
31223 7 964 806
31224 7 153 953
31225 7 243 454
31226 7 165 289
31227 7 287 1157
31228 7 234 1308
31229 7 3311 563
31230 7 197 1511
31231 7 198 1750
31232 7 424 708
31233 7 386 1018
31234 7 460 369
31235 7 99 590
31236 7 101 637
31237 7 539 480
31238 7 364 1150
31239 7 601 1262
31240 7 137 112
31241 7 1465 1405
31242 7 128 1501
31243 7 231 657
31244 7 565 1557
31245 7 928 607
31246 7 350 450
31247 7 255 331
31248 7 136 193
31249 7 157 176
31250 7 38 498
31251 7 443 166
31252 7 39 441
31253 7 48 242
31254 7 52 548
31255 7 110 255
31256 7 73 297
31257 7 212 359
31258 7 16 28
31300 7 355 241
31301 7 118 70
31302 7 752 55
31303 7 182 68
31304 7 282 62
31305 7 455 249
31306 7 1006 60
31307 7 500 132
31400 7 1349 223
31401 7 615 50
31402 7 277 67
31404 7 451 23
31500 7 361 15
31501 7 33 13
31502 7 167 9
31503 7 1706 160
31504 7 302 6
31505 7 197 161
31506 7 1391 140
31507 7 39 236
31508 7 98 94
31600 7 1319 633
31601 7 373 140
31602 7 1770 328
31603 7 468 872
31604 7 788 577
31605 7 469 489
31606 7 474 219
31607 7 634 124
31608 7 87 555
31609 7 155 85
31610 7 897 397
31611 7 973 131
31612 7 1883 235
31613 7 838 2505
31614 7 824 146
31615 7 666 78
31616 7 843 368
31617 7 325 81
31618 7 1099 305
31619 7 4052 294
31620 7 271 1106
31621 7 276 883
31622 7 2114 168
31623 7 3788 4166
31624 7 1609 1223
31625 7 613 271
31626 7 1206 57
31628 7 728 358
31701 7 9 4
31702 7 4 2
31703 7 1 77
31705 7 2 2
31706 7 16 1
31707 7 16 4
31708 7 30 21
31801 7 25 14
31802 7 8 27
31803 7 52 1
31804 7 7 11
31805 7 19 10
31806 7 45 4
31000 8 209 17
31001 8 159 241
31002 8 292 350
31003 8 171 163
31004 8 209 7
31005 8 135 10
31006 8 496 50
31007 8 1766 1152
31008 8 227 176
31009 8 525 1065
31010 8 315 61
31011 8 242 641
31012 8 137 466
31013 8 376 65
31014 8 1136 1757
31015 8 515 1162
31016 8 214 228
31017 8 370 632
31018 8 527 28
31019 8 86 64
31020 8 249 244
31021 8 75 128
31022 8 165 191
31023 8 128 107
31024 8 288 470
31025 8 156 49
31026 8 47 9
31027 8 294 51
31028 8 106 156
31029 8 352 13
