fips	june2011	dec2012
51580	1.0000	0.9990
51590	0.9893	0.9889
51595	0.9922	0.9867
51600	1.0000	1.0000
51610	1.0000	1.0000
51620	0.9997	1.0000
51630	0.9684	0.9563
51640	1.0000	1.0000
51650	0.9847	0.9810
51660	0.9687	0.9458
51670	1.0000	1.0000
51678	1.0000	1.0000
51680	0.9832	0.9747
51683	1.0000	0.9999
51685	1.0000	1.0000
51690	0.9999	0.9996
51700	0.9875	0.9962
51710	0.9890	0.9904
51720	0.9825	0.9812
51730	1.0000	1.0000
51735	0.9928	0.9849
51740	0.9642	0.9768
51750	0.9988	0.9986
51760	0.9980	0.9980
51770	0.9326	0.9859
51775	0.9938	0.9915
51790	0.9980	0.9875
51800	0.9486	0.9545
51810	0.9939	0.9970
51820	0.9926	0.9551
51830	1.0000	1.0000
51840	0.9976	0.9968
53001	1.0000	1.0000
53003	0.9628	0.9630
53005	0.9991	0.9991
53007	0.9170	0.9340
53009	0.9393	0.9461
53011	0.9960	0.9937
53013	0.9967	0.9963
53015	0.9741	0.9650
53017	0.9112	0.9180
53019	0.0774	0.0798
53021	1.0000	1.0000
53023	0.9829	0.9776
53025	0.9917	0.9918
53027	0.9039	0.9438
53029	1.0000	1.0000
53031	0.9544	0.9452
53033	0.9989	0.9995
53035	0.9885	0.9906
53037	0.9859	0.9879
53039	0.8778	0.8730
53041	0.8727	0.8711
53043	0.8754	0.8684
53045	0.8585	0.8617
53047	0.6297	0.6373
53049	0.9208	0.9232
53051	0.7542	0.7483
53053	0.9880	0.9919
53055	0.9855	0.9874
53057	0.9462	0.9810
53059	0.6985	0.7925
53061	0.9940	0.9974
53063	1.0000	1.0000
53065	0.6948	0.7363
53067	0.9746	0.9893
53069	0.8092	0.8124
53071	0.9994	0.9992
53073	0.9964	0.9968
53075	1.0000	1.0000
53077	0.9944	0.9920
54001	0.7891	0.7492
54003	0.9931	0.9972
54005	0.8926	0.9086
54007	0.7389	0.7548
54009	0.9623	0.9882
54011	0.9753	0.9814
54013	0.5750	0.2858
54015	0.5797	0.5279
54017	0.7195	0.7251
54019	0.8101	0.7802
54021	0.7101	0.6425
54023	0.6297	0.5191
54025	0.8207	0.6069
54027	0.7318	0.3802
54029	0.9988	0.9946
54031	0.4471	0.2758
54033	0.9551	0.9262
54035	0.8250	0.7130
54037	0.9875	0.9107
54039	0.9128	0.8887
54041	0.8499	0.8198
54043	0.7047	0.5400
54045	0.8444	0.6620
54047	0.4731	0.6381
54049	0.9501	0.9231
54051	0.8450	0.8034
54053	0.7635	0.6787
54055	0.9443	0.8358
54057	0.5915	0.6543
54059	0.6726	0.4276
54061	0.9770	0.9644
54063	0.6225	0.4451
54065	0.8900	0.8503
54067	0.7694	0.6815
54069	0.9874	0.9800
54071	0.3598	0.2732
54073	0.7131	0.5993
54075	0.5983	0.1999
54077	0.8093	0.7368
54079	0.9277	0.8568
54081	0.8817	0.8612
54083	0.8265	0.7280
54085	0.9005	0.7287
54087	0.5560	0.4046
54089	0.7385	0.6280
54091	0.9268	0.8964
54093	0.6262	0.6322
54095	0.6746	0.6842
54097	0.8524	0.8180
54099	0.7429	0.6404
54101	0.7511	0.6844
54103	0.7596	0.7804
54105	0.7386	0.6778
54107	0.9839	0.9487
54109	0.7788	0.7175
55001	0.6361	0.9549
55003	0.8162	0.7841
55005	0.9447	0.9474
55007	0.8746	0.8743
55009	1.0000	1.0000
55011	0.8236	0.8513
55013	0.7362	0.7011
55015	1.0000	1.0000
55017	0.8994	0.8563
55019	0.6752	0.7098
55021	0.8032	0.8948
55023	0.8158	0.6815
55025	0.9899	0.9822
55027	0.9611	0.9654
55029	0.7904	0.9254
55031	0.8153	0.7682
55033	0.9137	0.8645
55035	0.9334	0.9341
55037	0.6899	0.6847
55039	0.9493	0.9624
55041	0.6761	0.6562
55043	0.8376	0.8105
55045	0.9332	0.9336
55047	0.8679	0.9661
55049	0.8165	0.7891
