lon	lat	zip
-74.054	40.859	7608
-94.825	30.992	75939
-94.939	30.710	77351
-74.713	40.226	8619
-73.982	40.738	10010
-117.899	34.081	91723
-95.412	42.506	51020
-122.712	45.419	97035
-112.685	34.504	86338
-71.391	41.712	2889
-98.057	27.761	78332
-118.438	35.127	93561
-97.151	32.949	76051
-70.541	43.649	4093
-91.000	30.468	70819
-99.774	32.420	79605
-94.675	31.608	75943
-122.939	45.512	97123
-94.585	38.980	64114
-80.692	32.400	29902
-95.242	29.771	77029
-91.924	32.775	71220
-81.881	26.594	33907
-107.875	37.267	81301
-90.814	42.347	52032
-95.958	41.253	68105
-92.529	44.079	55901
-110.219	37.005	84536
-96.942	33.149	75068
-123.814	46.986	98520
-118.073	34.682	93535
-71.653	43.441	3235
-84.460	33.447	30214
-73.268	42.455	1201
-117.974	33.696	92708
-88.977	39.853	62522
-110.970	32.223	85701
-81.920	39.881	43734
-73.765	43.146	12831
-74.857	40.171	19030
-118.089	34.064	91770
-98.537	29.407	78207
-95.456	29.919	77038
-97.674	30.278	78721
-95.265	38.612	66067
-95.669	29.682	77083
-109.048	35.757	86504
-86.183	39.772	46202
-111.849	33.308	85225
-118.316	33.819	90501
-110.971	32.374	85704
-80.659	41.086	44507
-72.110	41.452	6382
-76.777	34.735	28557
-77.862	39.303	25438
-122.533	45.539	97230
-87.965	41.819	60559
-73.746	41.037	10604
-82.499	28.052	33618
-91.908	30.086	70519
-119.755	39.507	89502
-102.665	44.559	57793
-87.851	42.559	53142
-122.460	37.690	94014
-118.881	34.196	91360
-97.898	36.276	73773
-94.449	45.614	56307
-122.070	37.388	94041
-85.570	33.648	36264
-84.530	34.337	30183
-75.447	40.048	19312
-97.086	32.927	75039
-83.058	42.362	48202
-81.022	34.032	29203
-75.210	43.086	13501
-122.166	47.568	98006
-87.908	43.133	53217
-120.265	37.114	93638
-122.639	47.097	98327
-75.226	40.265	18914
-78.909	35.121	28311
-118.470	34.012	90405
-84.037	35.943	37909
-82.490	42.826	48079
-89.053	42.324	61111
-80.950	35.157	28205
-118.017	34.125	91007
-122.482	37.694	94015
-117.159	33.179	92069
-87.403	39.443	47802
-97.390	32.876	76179
-80.178	26.092	33312
-83.444	42.643	48386
-122.666	47.659	98383
-116.248	33.722	92201
-117.988	34.010	91745
-83.536	41.650	43604
-71.165	42.555	1887
-92.084	32.524	71201
-112.089	33.487	85013
-91.670	30.836	70715
-93.897	37.018	65654
-71.821	42.581	1420
-87.579	41.751	60649
